0,0,50
0.0064,0.1281,50
0.0252,0.3757,50
0.0565,0.6256,50
0.1002,0.8754,50
0.1564,1.1252,50
0.2252,1.3752,50
0.3065,1.6253,50
0.4002,1.8752,50
0.5065,2.1252,50
0.6252,2.3752,50
0.7564,2.6251,50
0.9002,2.8751,50
1.0565,3.1252,50
1.2252,3.3751,50
1.4064,3.6251,50
1.6002,3.875,50
1.8064,4.1251,50
2.0252,4.3751,50
2.2564,4.6251,50
2.5003,4.8751,50
2.7565,5.1251,50
3.0252,5.3751,50
3.3064,5.625,50
3.6002,5.875,50
3.9065,6.1251,50
4.2252,6.3751,50
4.5564,6.625,50
4.9002,6.875,50
5.2565,7.1251,50
5.6252,7.3751,50
6.0065,7.6251,50
6.4002,7.8751,50
6.8002,8,50
7.2001,8,50
7.6002,8,50
8.0001,8,50
8.4003,8,50
8.7986,7.9686,50
9.1861,7.7497,50
9.5611,7.4997,50
9.9236,7.2497,50
10.2735,6.9997,50
10.6111,6.7497,50
10.9361,6.4997,50
11.2486,6.2496,50
11.5485,5.9997,50
11.8361,5.7497,50
12.111,5.4997,50
12.3735,5.2497,50
12.6235,4.9997,50
12.861,4.7497,50
13.0859,4.4997,50
13.2984,4.2497,50
13.4985,3.9996,50
13.6859,3.7496,50
13.8609,3.4997,50
14.0234,3.2496,50
14.1734,2.9996,50
14.3108,2.7496,50
14.4359,2.4996,50
14.5484,2.2495,50
14.6483,1.9996,50
14.7358,1.7497,50
14.8108,1.4997,50
14.8733,1.2496,50
14.9232,0.9996,50
14.9608,0.7495,50
14.9857,0.4993,50
14.9982,0.2488,50
